数据类别,具体数据点,数值,日期,来源,核实状态
行情,盘中价,395.32元,2026-06-12,同花顺/新浪财经,已核实
行情,涨跌幅,+3.43%,2026-06-12,同花顺/新浪财经,已核实
行情,总市值,~1.83万亿,2026-06-12,同花顺,已核实
行情,动态PE,22.05倍,2026-06-12,同花顺,已核实
行情,PB,4.88倍,2026-06-12,同花顺,已核实
行情,52周最高,468.75元,2026-05,英为财情,已核实
行情,52周最低,230.12元,2026,英为财情,已核实
行情,融资余额,232.98亿元,2026-06-11,证券时报,已核实
Q1业绩,营业收入,1291.31亿元,2026Q1,公司季报,已核实
Q1业绩,营收同比,+52.45%,2026Q1,公司季报,已核实
Q1业绩,归母净利润,207.38亿元,2026Q1,公司季报,已核实
Q1业绩,净利同比,+48.52%,2026Q1,公司季报,已核实
Q1业绩,扣非净利润,180.93亿元,2026Q1,公司季报,已核实
Q1业绩,毛利率,24.82%,2026Q1,公司季报,已核实
Q1业绩,研发费用,53.14亿元,2026Q1,公司季报,已核实
Q1业绩,出货量,~200GWh,2026Q1,公司季报/券商测算,已核实
Q1业绩,经营现金流,336.81亿元(同比-74.72%),2026Q1,公司季报,已核实
2025全年,营收,4237亿元(+17%),2025,公司年报,已核实
2025全年,归母净利,722亿元(+42.3%),2025,公司年报,已核实
2025全年,经营现金流,1332亿元,2025,公司年报,已核实
2025全年,自由现金流,~909亿元,2025,年报数据测算,已核实
2025全年,净现比,1.85倍,2025,年报数据计算,已核实
2025全年,动力电池毛利率,23.84%,2025,公司年报,已核实
2025全年,储能毛利率,26.71%,2025,公司年报,已核实
2025全年,境外收入占比,30.60%,2025,公司年报,已核实
2025全年,境外毛利率,31.44%,2025,公司年报,已核实
财务健康,资产负债率,61.94%,2025末,公司年报,已核实
财务健康,有息负债率,~12.3%,2025末,公司年报,待核实精确值
财务健康,类现金资产,3925亿元,2025末,公司年报,已核实
财务健康,存货,945亿元(+58% YoY),2025末,公司年报,已核实
财务健康,应收账款,764亿元(+19% YoY),2025末,公司年报,已核实
财务健康,资本开支,~423亿元,2025,公司年报,已核实
估值,TTM PE,22-26倍,2026-06,多平台,已核实
估值,Forward PE 2026E,17-21倍,2026-06,Yahoo Finance/CLSA,已核实
估值,PE历史分位数,~33%,2026Q1,集思录,已核实
估值,PEG(基于2026E增速),0.55-0.73,2026-06,行业测算,已核实
估值,机构目标价区间,490-632元,2026-06,各券商,已核实
竞争格局,全球市占率,40.1%,2026年1-4月,SNE Research,已核实
竞争格局,国内市占率,47.7%,2026Q1,中国汽车动力电池产业创新联盟,已核实
竞争格局,产能利用率,96.9%,2026Q1,公司/券商,已核实
机构研报,花旗目标价/评级,603元/买入(首选),2026-06-05,花旗研报,已核实
机构研报,花旗2026E净利预测,1030亿元,2026-06-05,花旗研报,已核实
机构研报,东吴目标价/评级,601元/买入,2026-06-01,东吴证券,已核实
机构研报,里昂目标价/评级,570元/跑赢大市,2026-06-10,CLSA,已核实
机构研报,法巴H股评级调整,中性(下调),2026-06-03,法巴银行,已核实
机构研报,中金2026E净利预测,959.8亿元,2026-04,中金公司,已核实
技术面,MA5,395.31元,2026-06-12,东方财富,已核实
技术面,MA10,400.65元,2026-06-12,东方财富,已核实
技术面,MA20,409.67元,2026-06-12,东方财富,已核实
技术面,RSI(14),27.753,2026-06-12,英为财情,已核实
技术面,MACD状态,零轴下方死叉,2026-06-04形成,东方财富,已核实
技术面,KDJ J值,5.25(极端超卖),2026-06-09,同花顺,已核实
技术面,换手率,0.61%,2026-06-12盘中,东方财富,已核实
技术面,筹码平均成本,369.20元,2026-06,九方智投,已核实
筹码结构,股东户数变化,-20.58%(至204,504户),2026Q1,AAStocks,已核实
筹码结构,北向持股,7.61亿股(17.88%),2026Q1,AAStocks,已核实
筹码结构,北向Q1增持,+6877万股(+9.93%),2026Q1,AAStocks,已核实
股东减持,黄世霖减持,1%约172亿(询价转让),2025-11,公告,已核实
股东减持,宁波联创减持,1.27%约238亿(询价转让),2026-04,公告,已核实
股东减持,中石化香港减持H股,约52.6亿(大宗),2026-04,公告,已核实
重大事件,电解液长协,永太47万+新宙邦30万+Enchem 35万吨,2026-06,公司公告,已核实
重大事件,时代北汽首颗电芯下线,15GWh年产能,2026-06-10,北京日报,已核实
重大事件,设立时代资源集团,注册资本300亿,2026-04,公告,已核实
重大事件,钠电池Naxtra发布,175Wh/kg 2026年底量产,2026-04-21,公司科技日,已核实
重大事件,海博思创钠电订单,3年60GWh,2026-04-27,证券时报,已核实
风险,1260H清单,6月30日生效 2027年延伸二级供应链,2026,公开信息,已核实
风险,匈牙利大选,新政府不支持工厂扩建,2026-05,媒体报道,已核实
风险,匈牙利环保事故,绿色液体泄漏+有毒气体,2026-02/05,媒体报道,已核实
风险,碳酸锂现货价,17.9万元/吨,2026-06-11,北极星储能网,已核实
风险,H股配售,6238.5万股(391.9亿港元),2026-04,公告,已核实
行业数据,全球动力电池装机,1187GWh(+31.7%),2025,SNE Research,已核实
行业数据,头部6家6月排产,175.7GWh(+68% YoY +6% MoM),2026-06,国信证券,已核实
行业数据,中国企业全球份额,72.2%,2026年1-4月,SNE Research,已核实
